Plugins      PHP 8 Fatal Error
   1567   Fatal error: Array and string offset access syntax with curly braces is no longer supported.
    401   Fatal error: Unparenthesized `a ? b : c ? d : e` is not supported.
     65   Fatal error: __autoload() is no longer supported, use spl_autoload_register() instead.
     48   Fatal error: Cannot use 'Object' as class name as it is reserved.
     43   Fatal error: Cannot use "parent" when current class scope has no parent.
     27   Fatal error: 'break' not in the 'loop' or 'switch' context.
     20   Fatal error: Cannot use $this as parameter.
     18   Fatal error: 'continue' not in the 'loop' or 'switch' context.
     18   Fatal error: Cannot unset $this.
     15   Fatal error: Cannot use 'Null' as class name as it is reserved.
     14   Fatal error: Cannot use Riak\Object as Object because 'Object' is a special class name.
     12   Fatal error: Cannot redeclare json_encode().
     10   Fatal error: Switch statements may only contain one default clause.
      9   Fatal error: Cannot use "self" when no class scope is active.
      9   Fatal error: Cannot use lexical variable $eventName as a parameter name.
      9   Fatal error: Cannot use 'Int' as class name as it is reserved.
      8   Fatal error: Cannot use 'Mixed' as class name as it is reserved.
      8   Fatal error: A function with return type must return a value.
      7   Fatal error: Cannot use 'String' as class name as it is reserved.
      6   Fatal error: Unparenthesized `a ? b : c ?: d` is not supported.
      6   Fatal error: Cannot use 'Float' as class name as it is reserved.
      6   Fatal error: Cannot re-assign auto-global variable _POST.
      5   Fatal error: class::__sleep(): Return type must be array when declared.
      5   Fatal error: Cannot use vierbergenlars\LibJs\Object as Object because 'Object' is a special class name.
      5   Fatal error: Cannot use FG\ASN1\Object as Object because 'Object' is a special class name.
      4   Fatal error: Method class::__set_state() must take exactly 1 argument.
      4   Fatal error: Declaration of class::query($statement) must be compatible with PDO::query(string $statement, ?int $fetch_mode = null, mixed ...$fetch_mode_args).
      4   Fatal error: Cannot use Stripe\Object as Object because 'Object' is a special class name.
      4   Fatal error: Cannot use Smalot\PdfParser\Object as Object because 'Object' is a special class name.
      4   Fatal error: Cannot use result of built-in function in write context.
      3   Fatal error: Declaration of class::remove() must be compatible with DOMElement::remove(): void.
      3   Fatal error: Cannot use Zend\Db\Metadata\Object as Object because 'Object' is a special class name.
      3   Fatal error: Cannot use Zend\Barcode\Object as Object because 'Object' is a special class name.
      3   Fatal error: Cannot use 'Bool' as class name as it is reserved.
      3   Fatal error: Cannot redeclare mb_str_split().
      2   Fatal error: Unparenthesized `a ?: b ? c : d` is not supported.
      2   Fatal error: Declaration of class::StrokeLabel($label, $img, $xc, $yc, $a, $r) must be compatible with PiePlot::StrokeLabel($label, &$img, $xc, $yc, $a, $radius).
      2   Fatal error: Declaration of class::GetColWidth(&$aImg, $margin) must be compatible with TextProperty::GetColWidth(&$aImg, $aMargin = 0).
      2   Fatal error: Declaration of class::fputcsv($fields, $delimiter = null, $enclosure = null) must be compatible with SplFileObject::fputcsv(array $fields, string $delimiter = ',', string $enclosure = '"', string $escape = "\\").
      2   Fatal error: Declaration of class::FilledArc($xc, $yc, $w, $h, $s, $e) must be compatible with Image::FilledArc($xc, $yc, $w, $h, $s, $e, $style = '').
      2   Fatal error: Class _XXXGenerator may not inherit from final class (Generator).
      2   Fatal error: Class _TidyGenerator may not inherit from final class (Generator).
      2   Fatal error: Class _PXTemplateGenerator may not inherit from final class (Generator).
      2   Fatal error: Class _GedComGenerator may not inherit from final class (Generator).
      2   Fatal error: Class _FileGenerator may not inherit from final class (Generator).
      2   Fatal error: Class _DirectoryGenerator may not inherit from final class (Generator).
      2   Fatal error: Cannot use 'True' as class name as it is reserved.
      2   Fatal error: Cannot use Nextend\Framework\Form\Element\Mixed as Mixed because 'Mixed' is a special class name.
      2   Fatal error: Cannot use LobbyChatwing\Object as Object because 'Object' is a special class name.
      2   Fatal error: Cannot use Handlebars\String as String because 'String' is a special class name.
      2   Fatal error: Cannot use Chatwing\Object as Object because 'Object' is a special class name.
      2   Fatal error: Cannot use ChatwingFloatUI\Object as Object because 'Object' is a special class name.
      2   Fatal error: Cannot use BookingChatwing\Object as Object because 'Object' is a special class name.
      2   Fatal error: Cannot redeclare mb_convert_encoding().
      1   Fatal error: Redefinition of parameter $token.
      1   Fatal error: Redefinition of parameter $title.
      1   Fatal error: Redefinition of parameter $template_name.
      1   Fatal error: Redefinition of parameter $swimmerid.
      1   Fatal error: Redefinition of parameter $prepend.
      1   Fatal error: Redefinition of parameter $path.
      1   Fatal error: Redefinition of parameter $page.
      1   Fatal error: Redefinition of parameter $p.
      1   Fatal error: Redefinition of parameter $nothing.
      1   Fatal error: Redefinition of parameter $maxCount.
      1   Fatal error: Redefinition of parameter $location.
      1   Fatal error: Redefinition of parameter $list.
      1   Fatal error: Redefinition of parameter $charset.
      1   Fatal error: Redefinition of parameter $_.
      1   Fatal error: Non-abstract method class::displayAsHtml() must contain body.
      1   Fatal error: Non-abstract method class::circle() must contain body.
      1   Fatal error: Method class::__unserialize() cannot be static.
      1   Fatal error: Method class::__serialize() cannot take arguments.
      1   Fatal error: Declaration of class::write(&$encoding, $x, $y) must be compatible with SimpleWidget::write(&$encoding).
      1   Fatal error: Declaration of class::writeAttribute($name, $value) must be compatible with XMLWriter::writeAttribute(string $name, string $value): bool.
      1   Fatal error: Declaration of class::start_lvl($output, $depth) must be compatible with BB_Walker::start_lvl($output).
      1   Fatal error: Declaration of class::startAttribute($name) must be compatible with XMLWriter::startAttribute(string $name): bool.
      1   Fatal error: Declaration of class::setDictionary($filename) must be compatible with WordGenerator::setDictionary().
      1   Fatal error: Declaration of class::saveHTML() must be compatible with DOMDocument::saveHTML(?DOMNode $node = null).
      1   Fatal error: Declaration of class::retrieveCache() must be compatible with cache::retrieveCache($clean = true).
      1   Fatal error: Declaration of class::render() must be compatible with ECF_FieldTextarea::render($append = '').
      1   Fatal error: Declaration of class::renderField() must be compatible with SalsaSupporterField::renderField($value).
      1   Fatal error: Declaration of class::query($query, $bind = []) must be compatible with PDO::query(string $statement, ?int $fetch_mode = null, mixed ...$fetch_mode_args).
      1   Fatal error: Declaration of class::pickRandomBackground($dir) must be compatible with NoiseGenerator::pickRandomBackground($dir = '').
      1   Fatal error: Declaration of class::initDB() must be compatible with vsmod::initDB($config = false).
      1   Fatal error: Declaration of class::getVersePart($verse) must be compatible with AllbibleInfo::getVersePart($verse, $translation = '').
      1   Fatal error: Declaration of class::get($url) must be compatible with MyLCOoptions::get().
      1   Fatal error: Declaration of class::get($url, $ext = '.txt', $temp = DAY_IN_SECONDS) must be compatible with RemoteAttach::get().
      1   Fatal error: Declaration of class::getElementText() must be compatible with xml_domit_rss_elementindexer::getElementText($elementName).
      1   Fatal error: Declaration of class::fromToken($token) must be compatible with OAuthTokenBase::fromToken($token, $class).
      1   Fatal error: Declaration of class::filter($in, $out, $consumed, $closing) must be compatible with php_user_filter::filter($in, $out, &$consumed, bool $closing).
      1   Fatal error: Declaration of class::check_signature($request, $consumer, $token, $signature) must be compatible with OAuthSignatureMethod::check_signature(&$request, $consumer, $token, $signature).
      1   Fatal error: class::__set(): Return type must be void when declared.
      1   Fatal error: Class JoliTypo\Exception\InvalidMarkupException may not inherit from final class (DOMException).
      1   Fatal error: Cannot use yii\base\Object as Object because 'Object' is a special class name.
      1   Fatal error: Cannot use WP_Cloud_Search\Riak\Object as Object because 'Object' is a special class name.
      1   Fatal error: Cannot use variable $section twice.
      1   Fatal error: Cannot use stdClass as Object because 'Object' is a special class name.
      1   Fatal error: Cannot use PayPal\Api\object as object because 'object' is a special class name.
      1   Fatal error: Cannot use Nette\Object as Object because 'Object' is a special class name.
      1   Fatal error: Cannot use Memio\Model\Object as Object because 'Object' is a special class name.
      1   Fatal error: Cannot use lexical variable $widget as a parameter name.
      1   Fatal error: Cannot use lexical variable $value as a parameter name.
      1   Fatal error: Cannot use lexical variable $parameters as a parameter name.
      1   Fatal error: Cannot use lexical variable $opts as a parameter name.
      1   Fatal error: Cannot use LayerShifter\TLDSupport\Helpers\Mixed as Mixed because 'Mixed' is a special class name.
      1   Fatal error: Cannot use 'Iterable' as class name as it is reserved.
      1   Fatal error: Cannot use 'float' as class name as it is reserved.
      1   Fatal error: Cannot use 'False' as class name as it is reserved.
      1   Fatal error: Cannot use Elastica\Query\Bool as Bool because 'Bool' is a special class name.
      1   Fatal error: Cannot redeclare set_custom_feu_views() (previously declared in front-end-users/front-end-users/example_hooks.php:30).
      1   Fatal error: Cannot redeclare random_int().
      1   Fatal error: Cannot redeclare random_bytes().
      1   Fatal error: Cannot redeclare mime_content_type().
      1   Fatal error: Cannot redeclare is_countable().
      1   Fatal error: Cannot redeclare imagerotate().
      1   Fatal error: Cannot redeclare ImageCreateFromBMP().
      1   Fatal error: Cannot redeclare imagebmp().
      1   Fatal error: Cannot redeclare hex2bin().
      1   Fatal error: Cannot redeclare getHostname().
      1   Fatal error: Cannot re-assign auto-global variable _GET.
      1   Fatal error: Cannot re-assign auto-global variable _COOKIE.
